filename,chromosome,window_pos_1,window_pos_2,sk_allel_avg_watterson_theta,exp_pi,sk_allel_tajima_d,sk_allel_no_sites
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3400,1,1,10000,0.0116673046147888,0.04,-1.66709534980678,3400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3500,1,1,10000,0.0121115893931665,0.04,-1.59188494703608,3500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3600,1,1,10000,0.0121115893931665,0.04,-1.63175381049291,3600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3700,1,1,10000,0.0128069916549751,0.04,-1.62298836421999,3700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3800,1,1,10000,0.0130194756794166,0.04,-1.49912261910898,3800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3900,1,1,10000,0.013425126998805,0.04,-1.63480560863765,3900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4000,1,1,10000,0.013425126998805,0.04,-1.63376694594688,4000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_400,1,1,10000,0.00141012125311189,0.04,-1.65705190661171,400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4100,1,1,10000,0.0145261805800019,0.04,-1.54022478469203,4100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4200,1,1,10000,0.0148545649814115,0.04,-1.55452826961304,4200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4300,1,1,10000,0.0147966147929275,0.04,-1.53361699383807,4300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4400,1,1,10000,0.0148352482519169,0.04,-1.60371647828804,4400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4500,1,1,10000,0.0155499672432201,0.04,-1.6135760124236,4500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4600,1,1,10000,0.016110152398566,0.04,-1.47107969440547,4600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4700,1,1,10000,0.0170373554143108,0.04,-1.60744514603224,4700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4800,1,1,10000,0.0175202736516778,0.04,-1.59291063504584,4800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4900,1,1,10000,0.0175395903811725,0.04,-1.63981802929801,4900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5000,1,1,10000,0.0175395903811725,0.04,-1.54327507968738,5000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_500,1,1,10000,0.00169987219553214,0.04,-1.50013125738216,500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5100,1,1,10000,0.018428159937928,0.04,-1.55198253928942,5100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5200,1,1,10000,0.0185247435854014,0.04,-1.52811954833201,5200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5300,1,1,10000,0.0188338112573163,0.04,-1.63114141825661,5300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5400,1,1,10000,0.0191235621997366,0.04,-1.59047525490529,5400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5500,1,1,10000,0.0198575979205345,0.04,-1.60056209122781,5500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5600,1,1,10000,0.0198382811910399,0.04,-1.54933616209911,5600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5700,1,1,10000,0.0199734982975026,0.04,-1.57983464634829,5700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5800,1,1,10000,0.0198189644615452,0.04,-1.55467348820715,5800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5900,1,1,10000,0.0208234343952687,0.04,-1.54126365999557,5900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6000,1,1,10000,0.0211325020671836,0.04,-1.58066703995012,6000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_600,1,1,10000,0.00169987219553214,0.04,-1.5711781541862,600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6100,1,1,10000,0.0211518187966783,0.04,-1.64902786407135,6100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6200,1,1,10000,0.0216347370340454,0.04,-1.60332778622615,6200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6300,1,1,10000,0.0219244879764657,0.04,-1.59956337980138,6300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6400,1,1,10000,0.0224074062138327,0.04,-1.60540663939468,6400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6500,1,1,10000,0.0233925594180616,0.04,-1.55428468761969,6500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6600,1,1,10000,0.0233346092295776,0.04,-1.58180537614264,6600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6700,1,1,10000,0.02379821073745,0.04,-1.6337754887457,6700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6800,1,1,10000,0.0240879616798702,0.04,-1.62100365345865,6800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6900,1,1,10000,0.0244936129992586,0.04,-1.56208937064838,6900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7000,1,1,10000,0.0242424955158277,0.04,-1.56601638696267,7000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_700,1,1,10000,0.00282024250622378,0.04,-1.44723942618676,700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7100,1,1,10000,0.0243583958927958,0.04,-1.6626533778514,7100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7200,1,1,10000,0.0254208160150034,0.04,-1.60523827919494,7200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7300,1,1,10000,0.0255173996624768,0.04,-1.56803667435526,7300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7400,1,1,10000,0.0258264673343917,0.04,-1.61388792812236,7400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7500,1,1,10000,0.0260969015473173,0.04,-1.60433097049593,7500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7600,1,1,10000,0.0265798197846844,0.04,-1.61005956563994,7600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7700,1,1,10000,0.026908204186094,0.04,-1.60276770063486,7700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7800,1,1,10000,0.0270820547515461,0.04,-1.58223598934066,7800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7900,1,1,10000,0.0279899410377963,0.04,-1.59696706532634,7900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8000,1,1,10000,0.0282410585212271,0.04,-1.60887606295353,8000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_800,1,1,10000,0.00291682615369719,0.04,-1.57475754070959,800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8100,1,1,10000,0.0285887596521314,0.04,-1.63141684549222,8100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8200,1,1,10000,0.0290909946189932,0.04,-1.59709647558757,8200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8300,1,1,10000,0.0292648451844454,0.04,-1.6154166495054,8300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8400,1,1,10000,0.0292648451844454,0.04,-1.59348806507384,8400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8500,1,1,10000,0.030018197634738,0.04,-1.60009024184424,8500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8600,1,1,10000,0.0306363329785679,0.04,-1.60634018009409,8600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8700,1,1,10000,0.0300375143642327,0.04,-1.59080348774303,8700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8800,1,1,10000,0.0309067671914934,0.04,-1.61506368536955,8800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8900,1,1,10000,0.0316601196417861,0.04,-1.57940528744179,8900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9000,1,1,10000,0.0315635359943127,0.04,-1.5954261322173,9000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_900,1,1,10000,0.0033804276615696,0.04,-1.45087556380616,900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9100,1,1,10000,0.0320078207726904,0.04,-1.59090439285107,9100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9200,1,1,10000,0.0322396215266266,0.04,-1.62324172624803,9200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9300,1,1,10000,0.0325486891985415,0.04,-1.60730576998623,9300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9400,1,1,10000,0.0330122907064139,0.04,-1.58438906162223,9400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9500,1,1,10000,0.0335338424027704,0.04,-1.58496253022427,9500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9600,1,1,10000,0.0337463264272119,0.04,-1.58695316862617,9600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9700,1,1,10000,0.0340167606401375,0.04,-1.57956253840453,9700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9800,1,1,10000,0.0344224119595258,0.04,-1.60222582076941,9800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9900,1,1,10000,0.0348666967379035,0.04,-1.59593158131638,9900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.01,1,1,10000,0.0350598640328504,0.04,-1.59249574462856,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.02,1,1,10000,0.0350019138443663,0.04,-1.59019268866148,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.03,1,1,10000,0.035021230573861,0.04,-1.58789661203789,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.04,1,1,10000,0.0348860134673982,0.04,-1.58370632623317,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.05,1,1,10000,0.0348860134673982,0.04,-1.5833676361451,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.06,1,1,10000,0.0348087465494195,0.04,-1.57534227243661,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.07,1,1,10000,0.0347314796314408,0.04,-1.57441761112779,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.08,1,1,10000,0.0347314796314408,0.04,-1.58675405199565,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.09,1,1,10000,0.0346928461724514,0.04,-1.569561708964,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.1,1,1,10000,0.0345576290659886,0.04,-1.56165197304537,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.11,1,1,10000,0.0346348959839673,0.04,-1.56385630081398,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.12,1,1,10000,0.0343837785005365,0.04,-1.5567832631632,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.13,1,1,10000,0.0343258283120524,0.04,-1.55299455311622,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.14,1,1,10000,0.034229244664579,0.04,-1.55585827845032,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.15,1,1,10000,0.0341519777466003,0.04,-1.54802079642853,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.16,1,1,10000,0.0339394937221587,0.04,-1.53111241069753,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.17,1,1,10000,0.0339588104516534,0.04,-1.52950685257907,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.18,1,1,10000,0.0338598040370742,0.04,-1.54392539777085,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.19,1,1,10000,0.0340537318952476,0.04,-1.53648214004601,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.2,1,1,10000,0.0337434473221702,0.04,-1.52336257003329,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.21,1,1,10000,0.0338210184654395,0.04,-1.5406433958244,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.22,1,1,10000,0.0335883050356315,0.04,-1.51783564619115,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.23,1,1,10000,0.0337069621764286,0.04,-1.52042595573736,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.24,1,1,10000,0.0333538892577837,0.04,-1.51906071557422,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.25,1,1,10000,0.033413688143571,0.04,-1.51480794264251,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.26,1,1,10000,0.0335291286058982,0.04,-1.49614401729211,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.27,1,1,10000,0.0328271400778559,0.04,-1.47452134224251,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.28,1,1,10000,0.0330617593041419,0.04,-1.47876441790848,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.29,1,1,10000,0.0331235686785368,0.04,-1.4899978481075,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.3,1,1,10000,0.0326724029040053,0.04,-1.45640432764149,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.31,1,1,10000,0.0328094150929668,0.04,-1.48620866782836,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.32,1,1,10000,0.0325579868911856,0.04,-1.46835309045243,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.33,1,1,10000,0.0320240311290418,0.04,-1.42650656708091,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.34,1,1,10000,0.0317322503551877,0.04,-1.42742670122072,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.35,1,1,10000,0.0321688945288314,0.04,-1.45349183331102,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.36,1,1,10000,0.0321438634964461,0.04,-1.44966576319982,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.37,1,1,10000,0.0323566946832054,0.04,-1.48968430298,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.38,1,1,10000,0.0317133005792235,0.04,-1.4222147625035,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.39,1,1,10000,0.0318845827098491,0.04,-1.40780148215275,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.4,1,1,10000,0.0319786029249146,0.04,-1.42261924424223,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.41,1,1,10000,0.0314827606215082,0.04,-1.41757416246062,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.42,1,1,10000,0.031550105471391,0.04,-1.38639133878302,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.43,1,1,10000,0.0314626695170912,0.04,-1.40116911080447,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.44,1,1,10000,0.0311762744900942,0.04,-1.42558444115503,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.45,1,1,10000,0.030430456608021,0.04,-1.33921989391401,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.46,1,1,10000,0.031438959842981,0.04,-1.4087854617325,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.47,1,1,10000,0.0314186635486989,0.04,-1.39750305979469,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.48,1,1,10000,0.0303429599517473,0.04,-1.37726738858144,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.49,1,1,10000,0.0296745612239743,0.04,-1.30529040343099,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.5,1,1,10000,0.0296820748059835,0.04,-1.32458711034907,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.51,1,1,10000,0.0303415794928491,0.04,-1.34177039118852,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.52,1,1,10000,0.0304231977295481,0.04,-1.33384374829952,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.53,1,1,10000,0.0296674942774831,0.04,-1.31385904761206,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.54,1,1,10000,0.0292586105022061,0.04,-1.27533486907865,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.55,1,1,10000,0.0290365278151747,0.04,-1.27998420487051,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.56,1,1,10000,0.0294723870604347,0.04,-1.25211281368797,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.57,1,1,10000,0.0285570641290925,0.04,-1.23771233019368,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.58,1,1,10000,0.0295267771894056,0.04,-1.24841384464425,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.59,1,1,10000,0.0289119966022433,0.04,-1.22418051333794,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.6,1,1,10000,0.0286706259413394,0.04,-1.207911302712,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.61,1,1,10000,0.028336518137216,0.04,-1.19147629850291,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.62,1,1,10000,0.0278760085325553,0.04,-1.14790209606607,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.63,1,1,10000,0.0286098031724256,0.04,-1.2218258289154,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.64,1,1,10000,0.0281165307039355,0.04,-1.19860642166897,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.65,1,1,10000,0.0278806177842228,0.04,-1.154334572373,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.66,1,1,10000,0.0263640172370538,0.04,-1.01744214085596,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.67,1,1,10000,0.0275032118889165,0.04,-1.15742768712218,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.68,1,1,10000,0.0263853128891031,0.04,-1.02964933795605,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.69,1,1,10000,0.0265996193323612,0.04,-1.1139826748592,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.7,1,1,10000,0.0263149348630795,0.04,-1.01415809355065,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar_missing_genos=0.71,1,1,10000,0.026191159734982,0.04,-1.04060458695963,10000
